>>> Updated on: 2016-07-24T00:14:18Z <<<
tld,u-label,removal-date,info-link
doosan,,,https://www.iana.org/reports/c.2.9.2.d/20160219-doosan
nato,,,https://en.wikipedia.org/wiki/.nato
an,,,https://www.iana.org/reports/2011/cw-report-20111003.html
yu,,,https://www.iana.org/reports/2010/yu-report-01apr2010.html
tp,,,https://www.iana.org/reports/2015/tp-report-20150126.html
zr,,,https://www.iana.org/reports/2001/zr-report-20jun01.html
cs,,,http://www.ccwhois.org/ccwhois/cctld/CS-history.txt
xn--kgbechtv,إختبار,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--hgbk6aj7f53bba,آزمایشی,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--0zwm56d,测试,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--g6w251d,測試,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--80akhbyknj4f,испытание,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--11b5bs3a9aj6g,परीक्षा,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--jxalpdlp,δοκιμή,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--9t4b11yi5a,테스트,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--deba0ad,טעסט,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--zckzah,テスト,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
xn--hlcj6aya9esc7a,பரிட்சை,2013-10-31,https://www.icann.org/news/announcement-2-2013-10-02-en
root,,,https://lists.dns-oarc.net/pipermail/dns-operations/2010-May/005501.html

